imdb_title_id,title,year,genre,duration,avg_vote,votes,language
tt1126618,il buongiorno del mattino,2010,"Comedy, Drama, Romance",107,6.5,72068,"English, Ukrainian"
tt1127702,mission london,2010,Comedy,107,7.2,6026,"English, Bulgarian, Russian, Serbian"
tt1129412,circle,2010,"Horror, Thriller",88,3.3,636,English
tt1129427,miss nobody,2010,"Comedy, Crime",92,5.5,1793,English
tt1130969,bad cop  polizia violenta,2010,"Action, Crime, Thriller",104,6.1,5330,English
tt1131728,basmati blues,2017,"Comedy, Musical, Romance",106,3.6,1668,English
tt1132449,una ragazza a las vegas,2012,"Comedy, Drama, Romance",94,4.8,10995,"English, Spanish"
tt1133985,lanterna verde,2011,"Action, Adventure, Sci-Fi",114,5.5,263315,English
tt1134846,donkeys,2010,"Comedy, Drama",78,6.3,203,English
tt1135083,krach,2010,"Action, Drama, Thriller",85,4.7,379,"French, English"
tt1135084,takers,2010,"Action, Crime, Thriller",107,6.2,57022,"English, Russian"
tt1136688,tales of an ancient empire,2010,"Action, Adventure",86,2.4,1457,English
tt1137450,il giustiziere della notte  death wish,2018,"Action, Crime, Drama",107,6.4,61564,"English, Spanish"
tt1137470,accidental love,2015,"Comedy, Romance",100,4.1,7625,"English, Portuguese"
tt1138442,moojeokja,2010,"Action, Crime, Drama",124,5.9,996,"Korean, Thai, English, Russian"
tt1139592,jeepers creepers 3,2017,"Action, Horror, Mystery",100,3.9,16563,English
tt1142977,frankenweenie,2012,"Animation, Comedy, Family",87,6.9,95469,English
tt1144546,holyman undercover,2010,Comedy,90,4.8,226,English
tt1144815,son of morning,2011,"Comedy, Drama",81,4.1,582,English
tt1151919,on a dark and stormy night,2010,"Horror, Thriller",80,1.9,189,English
tt1152827,super hybrid,2010,"Horror, Sci-Fi, Thriller",94,3.9,1612,English
tt1153546,bloodrayne the third reich,2011,"Action, Adventure, Fantasy",79,3.0,5873,English
tt1155076,the karate kid  la leggenda continua,2010,"Action, Drama, Family",140,6.2,157587,"English, Mandarin"
tt1156300,deadtime stories 2,2011,Horror,77,3.8,523,English
tt1158934,little big boy,2012,"Comedy, Horror",90,4.4,143,English
tt1159922,bella giornata per un matrimonio,2012,"Comedy, Drama, Romance",89,5.7,2168,"English, Latin"
tt1160996,the colony,2013,"Action, Sci-Fi, Thriller",95,5.3,42548,English
tt1161457,the vanquisher,2016,"Action, Adventure, Sci-Fi",90,3.9,152,English
tt1161864,il rito,2011,"Drama, Horror, Mystery",114,6.0,89627,"English, Welsh, Italian, Latin, Russian, Hungarian"
tt1168696,boston girls,2010,"Comedy, Horror, Thriller",90,2.2,192,English
tt1171222,lamore in valigia,2013,"Comedy, Romance",96,5.1,8653,English
tt1172049,demolition amare e vivere,2015,"Action, Comedy, Drama",101,7.0,86390,English
tt1172587,delhi safari,2012,"Animation, Adventure, Comedy",96,5.7,1568,"Hindi, English"
tt1174042,the myth of the american sleepover,2010,"Comedy, Drama, Romance",96,6.3,3862,English
tt1174693,the fourfaced liar,2010,"Comedy, Drama, Romance",87,5.7,2446,English
tt1175713,questioni di famiglia,2011,"Comedy, Drama",87,5.4,1852,English
tt1178665,a spasso nel bosco,2015,"Adventure, Biography, Comedy",104,6.3,24099,English
tt1179025,adèle e lenigma del faraone,2010,"Action, Adventure, Family",107,6.3,19545,"French, English, Spanish"
tt1179034,from paris with love,2010,"Action, Crime, Thriller",92,6.5,111044,"English, French, Mandarin, German"
tt1179056,nightmare,2010,"Crime, Drama, Horror",95,5.2,90863,English
tt1179069,shelter  identità paranormali,2010,"Horror, Mystery, Thriller",112,6.1,31937,English
tt1179071,the orphan killer,2011,Horror,83,3.8,1562,English
tt1179933,10 cloverfield lane,2016,"Action, Drama, Horror",103,7.2,283194,English
tt1181791,black death  un viaggio allinferno,2010,"Action, Drama, History",102,6.4,43489,"English, Latin"
tt1181795,bunraku,2010,"Action, Drama, Fantasy",124,6.2,18946,"English, Japanese"
tt1182350,incontrerai luomo dei tuoi sogni,2010,"Comedy, Drama, Romance",98,6.3,43255,"English, Italian"
tt1182884,dulha mil gaya,2010,"Comedy, Drama, Romance",152,4.2,2415,"Hindi, Urdu, Punjabi, English"
tt1182942,snub,2010,"Horror, Thriller",74,2.9,197,English
tt1183374,pet,2016,"Horror, Thriller",94,5.7,15257,English
